drug_1_name,drug_2_name,smiles_1,smiles_2,interaction_label
AL-37350A,PSB-17365,C[C@@H](Cc1c[nH]c2c1c1CCCOc1cc2)N,Brc1ccc(cc1)CCNc1cc(=O)[nH]c(=O)[nH]1,0
deslanoside,compound III [PMID: 24045148],OC[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@@H](O[C@@H]2C)O[C@H]2[C@@H](O)C[C@@H](O[C@@H]2C)O[C@H]2[C@@H](O)C[C@@H](O[C@@H]2C)O[C@H]2CC[C@]3([C@@H](C2)CC[C@@H]2[C@@H]3C[C@@H](O)[C@]3([C@]2(O)CC[C@@H]3C2=CC(=O)OC2)C)C)[C@@H]([C@H]([C@@H]1O)O)O,O=C(C1CCN(CC1)c1nc2c(n1C(C)C)cc(c(c2)C)C)NC1CCCC1,0
SK&amp;F 88070,[<sup>3</sup>H]JNJ-40068782,CO/N=C(/c1csc(n1)N)\C(=O)N[C@@H]1C(=O)N2[C@@H]1SCC(=C2C(=O)O)CSc1nnnn1CCNS(=O)(=O)O,N#Cc1c(ccn(c1=O)CC1CC1)N1CCC(CC1)c1ccccc1,0
JNJ-28312141,MRS2578,N#Cc1c[nH]c(n1)C(=O)Nc1ccc(cc1C1=CCCCC1)C1CCN(CC1)C(=O)CN(C)C,S=C=Nc1cccc(c1)NC(=S)NCCCCNC(=S)Nc1cccc(c1)N=C=S,0
eremomycin,3-methylhexanal,OC[C@H]1O[C@@H](Oc2c3Oc4ccc(cc4)[C@@H](O[C@@H]4O[C@@H](C)[C@@H]([C@@](C4)(C)N)O)[C@@H]4NC(=O)[C@H](NC(=O)[C@H]5c(c3)cc2Oc2ccc(cc2Cl)[C@@H](O)[C@H](C(=O)N[C@H](C(=O)N5)CC(=O)N)NC(=O)[C@@H](CC(C)C)NC)c2ccc(c(c2)c2c([C@H](NC4=O)C(=O)O)cc(cc2O)O)O)[C@@H]([C@H]([C@@H]1O)O)O[C@@H]1O[C@@H](C)[C@@H]([C@@](C1)(C)N)O,CCCC(C)CC=O,1
substance P,XE991,NCCCC[C@@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N)CCSC)CC(C)C)Cc1ccccc1)Cc1ccccc1)CCC(=O)N)CCC(=O)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)N,O=C1c2ccccc2C(c2c1cccc2)(Cc1ccncc1)Cc1ccncc1,1
BODIPY<sup>&reg;</sup> TMR-NMU,benzoquinone,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CO)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CO)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)Cc1ccccc1)C(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CC(N)=O)C(=O)O,O=C1C=CC(=O)C=C1,1
compound 10 [PMID: 15482908],SB 225002,N#Cc1cc(F)cc(c1)n1nnc(n1)c1[nH]cc(n1)C,O=C(Nc1ccccc1Br)Nc1ccc(cc1O)[N+](=O)[O-],0
bombesin,cmp5 [PMID: 25742700],CSCC[C@@H](C(=O)N)NC(=O)[C@@H](NC(=O)[C@H](Cc1nc[nH]c1)NC(=O)CNC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(=O)[C@H](Cc1c[nH]c2c1cccc2)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]1CCC(=O)N1)CCC(=O)N)CCCNC(=N)N)CC(C)C)CC(=O)N)CCC(=O)N)C)CC(C)C,CCn1c2ccc(cc2c2c1cccc2)CNCc1cccnc1,1
PSB-17365,balinatunfib,Brc1ccc(cc1)CCNc1cc(=O)[nH]c(=O)[nH]1,CN1[C@@H]2C[C@H](C3=C(C1=O)C=CC=C3OC(F)F)N4C2=NC5=C4C=C(C=C5)C6=CN=C(N=C6)C7(CCC7)N,0
Ro-0505124,eCF309,CN1CCN(CC1)c1ccc(cc1)Nc1nc(c(s1)C(=O)c1ccc2c(c1)OCCO2)N,CCOC(Cn1nc(c2c1ncnc2N)c1ccc2c(c1)nc(o2)N)OCC,0
S6716,SLC-0111,NC(=N)c1cccc(c1)Cn1c(cc2c1cccc2C)C(=O)NCc1cccc2c1cccc2,O=C(Nc1ccc(cc1)F)Nc1ccc(cc1)S(=O)(=O)N,1
compound 12 [PMID: 27448772],deutetrabenazine,CN1CCN(CC1)C(=O)c1cccc(c1OC(C)C)NC(=O)c1csc2c1nc[nH]c2=O,CC(C[C@@H]1CN2CCc3c([C@H]2CC1=O)cc(c(c3)OC([2H])([2H])[2H])OC([2H])([2H])[2H])C,0
tecalcet,[<sup>3</sup>H]zolpidem,COc1cccc(c1)[C@H](NCCCc1ccccc1Cl)C,Cc1ccc(cc1)c1nc2n(c1CC(=O)N(C)C)cc(cc2)C,0
levosalbutamol,substance P,OCc1cc(ccc1O)[C@H](CNC(C)(C)C)O,NCCCC[C@@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N)CCSC)CC(C)C)Cc1ccccc1)Cc1ccccc1)CCC(=O)N)CCC(=O)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)N,1
